unsupported_file	check_manually	../../elitr-testset/documents/czech-asr/comp_linguistics/comp_linguistics.cs.OS.mp3
1	12644	../../elitr-testset/documents/czech-asr/comp_linguistics/comp_linguistics.cs.OSt
unsupported_file	check_manually	../../elitr-testset/documents/czech-asr/europarliament/europarliament.cs.OS.mp3
1	17051	../../elitr-testset/documents/czech-asr/europarliament/europarliament.cs.OSt
unsupported_file	check_manually	../../elitr-testset/documents/czech-asr/rozhlas/rozhlas.cs.OS.mp3
1	18362	../../elitr-testset/documents/czech-asr/rozhlas/rozhlas.cs.OSt
unsupported_file	check_manually	../../elitr-testset/documents/czech-asr/snemovna/snemovna.cs.OS.mp3
1	20592	../../elitr-testset/documents/czech-asr/snemovna/snemovna.cs.OSt
unsupported_file	check_manually	../../elitr-testset/documents/czech-asr/wgvat/wgvat.cs.OS.mp3
1	3759	../../elitr-testset/documents/czech-asr/wgvat/wgvat.cs.OSt
unsupported_file	check_manually	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/belgian.en.IScs.mp3
137	1908	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/belgian.en.IStcs
unsupported_file	check_manually	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/polish.en.IScs.mp3
64	1523	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/polish.en.IStcs
unsupported_file	check_manually	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/romanian.en.IScs.mp3
35	474	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/romanian.en.IStcs
unsupported_file	check_manually	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/spanish.en.IScs.mp3
139	1674	../../elitr-testset/documents/iwslt2020-nonnative-slt/testset/sao-wgvat/spanish.en.IStcs
